"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Arzt",1956,"Eselsberg","SPD"
"Friseurin",1972,"Böfingen","SPD"
"Hotelier und Gastronom",1986,"Söflingen","SPD"
"Juristin",1996,"Weststadt","SPD"
"Mechanikermeister",1959,"Böfingen","FWG"
"Rechtsanwältin",1977,"Söflingen","FWG"
"Einzelunternehmer",1971,"Oststadt","FWG"
"Obst- und Gemüsehändler",1997,"Mitte","FWG"
"techn. Oberlehrerin",1961,"Mitte","FWG"
"Rechtsanwalt",1959,"Söflingen","FWG"
"Maler",1959,"Mitte","FWG"
"Grafikdesignerin",1996,"Eselsberg","FWG"
"Rechtsanwalt",1975,"Oststadt","FWG"
"Augenoptikermeister",1976,"Böfingen","FWG"
"Steuerberater",1956,"Lehr","FWG"
"Medical Manager",1988,"Eggingen","FWG"
"Dipl.-Ingenieur (BA)",1970,"Mitte","FWG"
"Industriemeister",1986,"Weststadt","FWG"
"Bürokauffrau",1974,"Weststadt","FWG"
"Geschäftsführer",1990,"Mähringen","FWG"
"selbst. Bäckermeister",1995,"Mitte","FWG"
"Bankkaufmann",1948,"Söflingen","FWG"
"selbst. Unternehmerin",1962,"Böfingen","FWG"
"Key-Account-Manager",1975,"Söflingen","FWG"
"techn. Sachbearbeiter",1989,"Oststadt","FWG"
"Erzieherin",1971,"Oststadt","FWG"
"Rechtsanwalt",1986,"Mitte","FWG"
"Pilot",1986,"Mitte","FWG"
"Vertriebsmitarbeiter",1987,"Eselsberg","FWG"
"Rechtsanwältin i.R.",1950,"Mitte","FWG"
"selbst. Wirtschaftsinformatiker (B.Sc.)",1986,"Wiblingen","FWG"
"Bankbetriebswirt",1977,"Mitte","FWG"
"Geschäftsführer",1960,"Söflingen","FWG"
"Arzt",1946,"Eselsberg","FWG"
"Vertriebsmitarbeiter",1995,"Eselsberg","FWG"
"Rechtsanwalt",1975,"Oststadt","FWG"
"Dipl.-Ingenieur",1964,"Eselsberg","FWG"
"selbst. Geschäftsführer",1971,"Mitte","FWG"
"Juwelier",1958,"Weststadt","FWG"
"Rentner",1955,"Mitte","FWG"
"Verwaltungskraft",1987,"Mitte","FWG"
"techn. Objetkmanager",1989,"Söflingen","FWG"
"Soziologe",1955,"Eselsberg","FWG"
"techn. Oberlehrer i.R.",1948,"Söflingen","UWS"
"Polizeibeamter",1961,"Weststadt","UWS"
