"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"97",317,"Psychologe",1992,"Weststadt","SPD"
"98",318,"Stadtführerin",1953,"Gögglingen","SPD"
"99",319,"Lehrer",1970,"Lehr","SPD"
"100",320,"Geschäftsführerin",1966,"Söflingen","SPD"
"101",321,"Doktorand",1993,"Mitte","SPD"
"102",322,"Gesundheits- und Krankenpflegerin",1990,"Wiblingen","SPD"
"103",323,"Chemiker",1976,"Einsingen","SPD"
"104",324,"Hochschullehrerin",1971,"Lehr","SPD"
"105",325,"Pensionär",1946,"Mitte","SPD"
"106",326,"Hebamme",1963,"Oststadt","SPD"
"107",327,"Geschäftsführer",1966,"Söflingen","SPD"
"108",328,"Einrichtungsleiterin Pflegeheim",1979,"Weststadt","SPD"
"109",329,"Schulleiter",1965,"Weststadt","SPD"
"110",330,"Gewerkschaftssekretärin",1969,"Mitte","SPD"
"111",331,"Soziologe / Politologe",1959,"Eselsberg","SPD"
"112",332,"Friseurin",1969,"Oststadt","SPD"
"113",333,"Druckereihelfer",1964,"Oststadt","SPD"
"114",334,"Betriebsseelsorgerin",1966,"Weststadt","SPD"
"115",335,"techn. Verkaufsberater",1974,"Donaustetten","SPD"
"116",336,"Verwaltungsfachangestellte",1988,"Mitte","SPD"
"117",337,"Arzt",1956,"Eselsberg","SPD"
"118",338,"Friseurin",1972,"Böfingen","SPD"
"119",339,"Hotelier und Gastronom",1986,"Söflingen","SPD"
"120",340,"Juristin",1996,"Weststadt","SPD"
"121",401,"Mechanikermeister",1959,"Böfingen","FWG"
"122",402,"Rechtsanwältin",1977,"Söflingen","FWG"
"123",403,"Einzelunternehmer",1971,"Oststadt","FWG"
"124",404,"Obst- und Gemüsehändler",1997,"Mitte","FWG"
"125",405,"techn. Oberlehrerin",1961,"Mitte","FWG"
"126",406,"Rechtsanwalt",1959,"Söflingen","FWG"
"127",407,"Maler",1959,"Mitte","FWG"
"128",408,"Grafikdesignerin",1996,"Eselsberg","FWG"
"129",409,"Rechtsanwalt",1975,"Oststadt","FWG"
"130",410,"Augenoptikermeister",1976,"Böfingen","FWG"
"131",411,"Steuerberater",1956,"Lehr","FWG"
