"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"435",1302,"Steuerberater",1990,"Lehr","AfD"
"436",1303,"Referent im Landtag",1992,"Eselsberg","AfD"
"437",1304,"Abteilungsleiter",1975,"Söflingen","AfD"
"438",1305,"Bus- und Straßenbahnfahrer",1971,"Mitte","AfD"
"439",1306,"Buchhalter",1971,"Eselsberg","AfD"
"440",1307,"kaufm. Angestellte",1965,"Wiblingen","AfD"
"441",1308,"Grafikdesigner",1962,"Wiblingen","AfD"
"442",1401,"Maschinenbautechniker z.Zt. in Sabbatjahr",1985,"Weststadt","Tierschutzpartei"
"443",1402,"Betriebsratsassistentin",1989,"Weststadt","Tierschutzpartei"
"444",1403,"Penetrationstester",1995,"Eselsberg","Tierschutzpartei"
"445",1404,"Galvaniseur",1982,"Lehr","Tierschutzpartei"
"446",1405,"Versicherungskauffrau",1962,"Weststadt","Tierschutzpartei"
"447",1406,"Student",1999,"Böfingen","Tierschutzpartei"
"448",1407,"Doktorand",1990,"Eselsberg","Tierschutzpartei"
"449",1408,"Ingenieur",1987,"Söflingen","Tierschutzpartei"
"450",1409,"Auszubildender",1988,"Söflingen","Tierschutzpartei"
"451",1410,"Studentin",2002,"Böfingen","Tierschutzpartei"
"452",1501,"Einzelhändlerin",1977,"Söflingen","KlimalisteBW"
"453",1502,"Geschäftsführer",1972,"Eselsberg","KlimalisteBW"
"454",1503,"Studentin",1996,"Mitte","KlimalisteBW"
"455",1504,"Projektleiter",1967,"Jungingen","KlimalisteBW"
"456",1505,"Psychologin",1999,"Söflingen","KlimalisteBW"
"457",1506,"Biologe",1996,"Söflingen","KlimalisteBW"
"458",1507,"Buchhändler",1958,"Söflingen","KlimalisteBW"
"459",1508,"Studentin",1998,"Weststadt","KlimalisteBW"
"460",1509,"Assistent der Teamleitung",1997,"Eselsberg","KlimalisteBW"
"461",1510,"Studentin",2002,"Mitte","KlimalisteBW"
"462",1511,"Dipl.-Ingenieur",1969,"Oststadt","KlimalisteBW"
"463",1512,"Gemeindereferentin",1968,"Eggingen","KlimalisteBW"
"464",1513,"Physiker",1994,"Mitte","KlimalisteBW"
"465",1514,"Sekretärin",1963,"Donaustetten","KlimalisteBW"
"466",1515,"Student",1998,"Weststadt","KlimalisteBW"
"467",1516,"Auszubildende",1967,"Söflingen","KlimalisteBW"
"468",1517,"Physiker",1959,"Böfingen","KlimalisteBW"
"469",1518,"Dipl.-Betriebswirtin",1984,"Söflingen","KlimalisteBW"
"470",1519,"Student",1998,"Oststadt","KlimalisteBW"
"471",1520,"Software Qualitätsmanager",1969,"Jungingen","KlimalisteBW"
"472",1521,"Projektmanager Windenergie",1972,"Eselsberg","KlimalisteBW"
"473",1522,"Lehrer i.R.",1955,"Böfingen","KlimalisteBW"
"474",1523,"Krankenschwester",1977,"Weststadt","KlimalisteBW"
"475",1524,"IT-Projektleiterin",1997,"Eselsberg","KlimalisteBW"
"476",1525,"Tierärztin",1959,"Eselsberg","KlimalisteBW"
"477",1526,"Geschäftsführerin",1984,"Böfingen","KlimalisteBW"
"478",1527,"Physiker, Data Scientist",1987,"Weststadt","KlimalisteBW"
"479",1528,"Heilerziehungspflegerin",1976,"Eselsberg","KlimalisteBW"
"480",1529,"Student",2001,"Weststadt","KlimalisteBW"
"481",1530,"SAP-Berater i.R.",1959,"Donaustetten","KlimalisteBW"
"482",1531,"selbst. Web- und AppProgrammierer",1987,"Mitte","KlimalisteBW"
"483",1532,"Dipl.-Ingenieur",1974,"Eselsberg","KlimalisteBW"
"484",1533,"Kunstlehrerin",1967,"Mitte","KlimalisteBW"
"485",1534,"Schulleiter i.R.",1954,"Weststadt","KlimalisteBW"
"486",1535,"Pädagogin",1968,"Weststadt","KlimalisteBW"
"487",1536,"selbst. Dipl.-Informatiker",1968,"Böfingen","KlimalisteBW"
"488",1537,"Psychologe",1996,"Ermingen","KlimalisteBW"
"489",1538,"selbst. Finanzplaner",1969,"Oststadt","KlimalisteBW"
"490",1539,"Gesundheitspädagogin",1969,"Mitte","KlimalisteBW"
"491",1540,"Berater für IT-Sicherheit",1981,"Söflingen","KlimalisteBW"
"492",1601,"Schülerin",2008,"Jungingen","JUL"
"493",1602,"Student",2003,"Weststadt","JUL"
"494",1603,"Studentin",1999,"Oststadt","JUL"
"495",1604,"Auszubildender",2004,"Söflingen","JUL"
"496",1605,"Student",2003,"Eselsberg","JUL"
"497",1606,"Student",2002,"Söflingen","JUL"
"498",1607,"Student",2001,"Weststadt","JUL"
"499",1608,"Studentin",2003,"Eselsberg","JUL"
"500",1609,"Student",2003,"Gögglingen","JUL"
"501",1610,"Student",2000,"Wiblingen","JUL"
"502",1611,"Auszubildende",2003,"Weststadt","JUL"
"503",1612,"Auszubildende",1999,"Lehr","JUL"
"504",1613,"Studentin",2002,"Eselsberg","JUL"
"505",1614,"Auszubildender",2002,"Weststadt","JUL"
"506",1615,"Auszubildender",2001,"Jungingen","JUL"
"507",1616,"Schülerin",2006,"Jungingen","JUL"
